Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-LossAccuracy-L2,0.7991942590960595,0.9184027777777778,0.8546617300572197,0.07552719116210938
2,isolation-LossAccuracy-L2,0.8503694581280788,0.9989872685185185,0.9187067589143162,0.07308745384216309
3,isolation-LossAccuracy-L2,0.7976340297004783,0.9169560185185185,0.8531430878987751,0.07402992248535156
4,isolation-LossAccuracy-L2,0.799748743718593,0.9210069444444444,0.8561054330285099,0.07702374458312988
5,isolation-LossAccuracy-L2,0.7993702770780856,0.9182581018518519,0.8546997037436035,0.07267045974731445
6,isolation-LossAccuracy-L2,0.7991684515560036,0.9176793981481481,0.8543336251599434,0.07588768005371094
7,isolation-LossAccuracy-L2,0.7999497676754992,0.9215856481481481,0.8564705882352941,0.07688093185424805
8,isolation-LossAccuracy-L2,0.8000502071043053,0.9221643518518519,0.856778009274817,0.07410073280334473
9,isolation-LossAccuracy-L2,0.7980419229320949,0.9198495370370371,0.8546273271053163,0.07417964935302734
10,isolation-LossAccuracy-L2,0.8054325017486593,0.9995659722222222,0.8920593931568754,0.07441091537475586
11,isolation-LossAccuracy-L2,0.8078858078858079,0.9989872685185185,0.893330745843845,0.07539582252502441
12,isolation-LossAccuracy-L2,0.8010827143396702,0.9205729166666666,0.8566812521036689,0.07723045349121094
13,isolation-LossAccuracy-L2,0.8439066128835105,0.9988425925925926,0.9148611939309612,0.08076786994934082
14,isolation-LossAccuracy-L2,0.8057856059722385,0.9994212962962963,0.8922182757507265,0.0743112564086914
15,isolation-LossAccuracy-L2,0.847428501288818,0.9988425925925926,0.9169267547645926,0.07295393943786621
16,isolation-LossAccuracy-L2,0.807364114552893,0.9992766203703703,0.8931273032908773,0.07329678535461426
17,isolation-LossAccuracy-L2,0.8006790744466801,0.9211516203703703,0.8567007534983854,0.07324671745300293
18,isolation-LossAccuracy-L2,0.8519432449105491,0.9989872685185185,0.9196244256509288,0.07363224029541016
19,isolation-LossAccuracy-L2,0.807292275330139,0.9994212962962963,0.8931411209515806,0.07782149314880371
20,isolation-LossAccuracy-L2,0.8001006415901372,0.9201388888888888,0.8559316331337057,0.07767415046691895
21,isolation-LossAccuracy-L2,0.8020584912765156,0.9244791666666666,0.8589286914443176,0.07827234268188477
22,isolation-LossAccuracy-L2,0.8012539184952978,0.9244791666666666,0.8584671189628534,0.07274341583251953
23,isolation-LossAccuracy-L2,0.8059283463648034,0.9991319444444444,0.8921904269750015,0.07164764404296875
24,isolation-LossAccuracy-L2,0.7994189718327649,0.9156539351851852,0.8535976802211881,0.07306838035583496
25,isolation-LossAccuracy-L2,0.8000752539821899,0.9228877314814815,0.857104467584817,0.07267928123474121
26,isolation-LossAccuracy-L2,0.848787095185322,0.9972511574074074,0.9170491585179272,0.07317829132080078
27,isolation-LossAccuracy-L2,0.7993222891566265,0.9214409722222222,0.8560483870967742,0.07262229919433594
28,isolation-LossAccuracy-L2,0.8067040411118898,0.9992766203703703,0.8927232777562364,0.07263398170471191
29,isolation-LossAccuracy-L2,0.8483173667403586,0.9992766203703703,0.9176298658163943,0.07326316833496094
30,isolation-LossAccuracy-L2,0.8445450097847358,0.9989872685185185,0.9152969247083774,0.07288360595703125
